date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:43	64812/64812	---M-Z	200	added ('OK')	text/html	etag:%22b8de4d508e50db1:0%22	https://u2globalpromo.xyz/index.html	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/index.html	(from )
14:03:44	12579/12579	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Apr%202025%2008:33:42%20GMT	https://u2globalpromo.xyz/robots.txt		(from )
14:03:45	2228/2228	---M--	200	added ('OK')	image/x-icon	etag:%22d6476619bedda1:0%22	https://u2globalpromo.xyz/assets/images/brand-logos/favicon.ico	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/images/brand-logos/favicon.ico	(from https://u2globalpromo.xyz/index.html)
14:03:47	232803/232803	---MCZ	200	added ('OK')	text/css	etag:%2252e63d3be392da1:0%22	https://u2globalpromo.xyz/assets/libs/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/bootstrap/css/bootstrap.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:50	869188/869188	---MCZ	200	added ('OK')	text/css	etag:%22c7426f29e592da1:0%22	https://u2globalpromo.xyz/assets/css/styles.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/css/styles.css	(from https://u2globalpromo.xyz/index.html)
14:03:50	534486/534486	---MCZ	200	added ('OK')	text/css	etag:%2261ed6f29e592da1:0%22	https://u2globalpromo.xyz/assets/css/icons.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/css/icons.css	(from https://u2globalpromo.xyz/index.html)
14:03:50	3861/3861	---M-Z	200	added ('OK')	text/css	etag:%22f3bc6f3ae392da1:0%22	https://u2globalpromo.xyz/assets/libs/node-waves/waves.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/node-waves/waves.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:51	18435/18435	---M-Z	200	added ('OK')	text/css	etag:%221a22d3ce392da1:0%22	https://u2globalpromo.xyz/assets/libs/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/swiper/swiper-bundle.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:53	16166/16166	---M-Z	200	added ('OK')	text/css	etag:%22ac746a3ae392da1:0%22	https://u2globalpromo.xyz/assets/libs/flatpickr/flatpickr.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/flatpickr/flatpickr.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:54	9248/9248	---M-Z	200	added ('OK')	text/css	etag:%2242308c35e392da1:0%22	https://u2globalpromo.xyz/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:55	7666/7666	---M-Z	200	added ('OK')	text/css	etag:%2244ce2f3ae392da1:0%22	https://u2globalpromo.xyz/assets/libs/choices.js/public/assets/styles/choices.min.css	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://u2globalpromo.xyz/index.html)
14:03:56	2228/2228	---M--	200	added ('OK')	image/png	etag:%22d6476619bedda1:0%22	https://u2globalpromo.xyz/assets/images/brand-logos/toggle-dark.png	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/assets/images/brand-logos/toggle-dark.png	(from https://u2globalpromo.xyz/index.html)
14:03:58	36480/36480	---M-Z	200	added ('OK')	text/html	etag:%2253923f2f862db1:0%22	https://u2globalpromo.xyz/sign-in.html	C:/My%20Web%20Sites/u2u%20html/u2globalpromo.xyz/sign-in.html	(from https://u2globalpromo.xyz/index.html)
